#N 	 Time
4	14
5	8
6	16
7	28
8	2
9	3
10	5

#N 	 Time
4	14
#N 	 Time
4	13
#N 	 Time
4	13
#N 	 Time
4	13
#N 	 Time
4	13
#N 	 Time
4	14
#N 	 Time
4	14
#N 	 Time
4	13
#N 	 Time
#N 	 Time
#N 	 Time
4	13
#N 	 Time
4	13
#N 	 Time
#N 	 Time
#N 	 Time
4	13
4	13
#N 	 Time
#N 	 Time
#N 	 Time
4	1
#N 	 Time
4	0
#N 	 Time
4	0
5	1
6	0
7	2
8	2
9	3
10	4
#N 	 Time
4	0
5	0
6	1
7	1
8	2
9	3
10	5
#N 	 Time
#N 	 Time
#N 	 Time
4	1
5	0
6	1
#N 	 Time
4	0
#N 	 Time
#N 	 Time
4	0
#N 	 Time
#N 	 Time
#N 	 Time
4	0
#N 	 Time
4	14
4	13
4	13
4	13
4	14
#N 	 Time
4	13
4	13
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
#N 	 Time
4	12
4	12
5	9
6	15
7	26
8	2
9	3
10	5
#N 	 Time
4	12
5	9
6	16
7	27
8	2
#N 	 Time
4	12
4	12
4	12
5	9
6	15
7	27
8	1
9	2
10	4
#N	Time
4	12
5	10
6	15
7	26
8	2
#N	Time
4	13
4	12
5	9
6	16
7	26
8	2
9	3
10	4
